ProjectName,Context,DepositType,UnitType,DAACSPhase,Count,ArtifactType,ArtifactCategory
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,1,"Buckle, Unid: Harness/Util.",Buckle
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,2,Creamware,Ceramic
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,12,Pearlware,Ceramic
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,1,White Salt Glaze,Ceramic
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,6,Nail,General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,2,Pot,General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,7,"Shell, clam",General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,2,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,1,Spike,General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,2,"Staple, round",General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,1,Strapping,General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,15,Unidentified,General Artifacts
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,2,"Bottle, Case",Glass
Stewart Castle Village,001A,Topsoil,Quadrat/Unit,P02,19,"Bottle, Wine style",Glass
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Button, 1 Piece",Button
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Button, Flat Disc",Button
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,10,Creamware,Ceramic
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,57,Pearlware,Ceramic
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,Redware,Ceramic
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Slipware, North Midlands/Staffordshire",Ceramic
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,3,Whiteware,Ceramic
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,Medium Mammal,Faunal
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,Brick Fragment,General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,9,Charcoal,General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,2,"Hardware, unidentified",General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,25,Nail,General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,Pot,General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,20,Sheeting,General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,41,"Shell, clam",General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,6,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Tack, Unidentified",General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,5,Window Glass,General Artifacts
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,8,"Bottle, Case",Glass
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,59,"Bottle, Wine style",Glass
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,"Drinking Glass, unidentifiable",Glass
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,1,Scraper,Lithic
Stewart Castle Village,001B,Fill,Quadrat/Unit,P02,4,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,001C,Fill,Quadrat/Unit,,6,Charcoal,General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,4,Nail,General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,1,Sheeting,General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,1,"Shell, conch",General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,4,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,2,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,3,"Slate, unidentified",General Artifacts
Stewart Castle Village,001C,Fill,Quadrat/Unit,,1,"Tobacco Pipe, Base, Bowl",Tobacco Pipe
Stewart Castle Village,001CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,2,Sheeting,General Artifacts
Stewart Castle Village,001CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,2,"Shell, clam",General Artifacts
Stewart Castle Village,001CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,2,"Bottle, Wine style",Glass
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,1,"Buckle, Unidentifiable",Buckle
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,1,Domestic Cow,Faunal
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,60,"Mortar, architectural",General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,7,Nail,General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,1,"Parasol/Umbrella, other",General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,3,Sheeting,General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,26,"Shell, clam",General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,3,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,8,Wood,General Artifacts
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,2,"Bottle, Wine style",Glass
Stewart Castle Village,002A,Topsoil,Quadrat/Unit,,1,Flake,Lithic
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Buckle, Knee",Buckle
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Button, 1 Piece",Button
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,14,Pearlware,Ceramic
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Refined Earthenware, unidentifiable",Ceramic
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Whiteware,Ceramic
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,2,Bird,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,16,Bony Fish,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Chicken,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,2,Domestic Cow,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,4,Domestic Pig,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,2,Grouper,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Herring,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,9,Large Mammal,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,9,Mammal,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,10,Medium Mammal,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,6,Rats,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Sea Bass,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Snapper,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Squirrel Fish,Faunal
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Bar,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Bolt,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Casting Waste,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,25,Charcoal,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,5,Coal,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,2,Disc,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,44,Mesh,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,114,"Mortar, architectural",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,127,Nail,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Ornament, misc.",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Screw, slotted head",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,8,Sheeting,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,5,"Shell, chiton segment",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,215,"Shell, clam",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,5,"Shell, conch",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,13,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,5,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,9,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,2,"Slate, unidentified",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Weight, fishing",General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,10,Window Glass,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,Wire,General Artifacts
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,24,"Bottle, Wine style",Glass
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,4,"Drinking Glass, unidentifiable",Glass
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,8,Unidentifiable,Glass
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,2,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,002B,Fill,Quadrat/Unit,P02,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,3,Creamware,Ceramic
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,4,Pearlware,Ceramic
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,"Porcelain, Chinese",Ceramic
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,Bony Fish,Faunal
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,Domestic Pig,Faunal
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,10,Charcoal,General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,"Lock, plate",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,7,Mesh,General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,17,"Mortar, architectural",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,12,Nail,General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,2,"Shell, chiton segment",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,82,"Shell, clam",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,2,"Shell, conch",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,8,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,2,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,5,"Slate, unidentified",General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,Window Glass,General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,Wire,General Artifacts
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,5,"Bottle, Wine style",Glass
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,Tumbler,Glass
Stewart Castle Village,002C,Fill,Quadrat/Unit,P01,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,Pearlware,Ceramic
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,2,Bony Fish,Faunal
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,Land Hermit Crabs,Faunal
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,Large Mammal,Faunal
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,Mammal,Faunal
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,25,Charcoal,General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,16,Mesh,General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,3,"Mortar, architectural",General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,7,Nail,General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,Scrap/Waste,General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,5,Sheeting,General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,12,"Shell, clam",General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,2,"Shell, conch",General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,002CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,002D,Fill,Quadrat/Unit,,6,"Shell, clam",General Artifacts
Stewart Castle Village,002D,Fill,Quadrat/Unit,,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,002D,Fill,Quadrat/Unit,,3,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,2,British Stoneware,Ceramic
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,3,Creamware,Ceramic
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,6,Pearlware,Ceramic
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,"Refined Earthenware, unidentifiable",Ceramic
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Whiteware,Ceramic
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,2,Bony Fish,Faunal
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Domestic Cow,Faunal
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Medium Mammal,Faunal
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,"Sheep, Goat, Deer, or Pig",Faunal
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Squirrel Fish,Faunal
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,5,Brick/Daub,General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Casting Waste,General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,30,Charcoal,General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,2,"Mortar, architectural",General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,34,Nail,General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,7,Sheeting,General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,19,"Shell, clam",General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,"Shell, conch",General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,3,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,11,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Unidentified,General Artifacts
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,2,"Bottle, Unidentifiable",Glass
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,10,"Bottle, Wine style",Glass
Stewart Castle Village,003A,Topsoil,Quadrat/Unit,P02,1,Unidentifiable,Glass
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,"Button, 1 Piece",Button
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,British Stoneware,Ceramic
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,3,Creamware,Ceramic
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,6,Pearlware,Ceramic
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,2,Whiteware,Ceramic
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Yellow Ware,Ceramic
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Domestic Pig,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Grouper,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Land Hermit Crabs,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,3,Medium Mammal,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,4,Other Vertebrate,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Rats,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Sea Bass,Faunal
